"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE"
"864","S1","144.67500","144.67500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"865","S9","145.22500","145.22500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"866","S10","145.25000","145.25000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"867","S11","145.27500","145.27500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"868","S12","145.30000","145.30000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"869","S13","145.32500","145.32500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"870","S14","145.35000","145.35000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"871","S15","145.37500","145.37500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"872","S16","145.40000","145.40000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"873","S17","145.42500","145.42500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"874","S18","145.45000","145.45000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"875","S19","145.47500","145.47500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"876","S20","145.50000","145.50000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"877","S21","145.52500","145.52500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"878","S22","145.55000","145.55000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"879","U-S1","430.92500","430.92500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"880","U-S2","438.55000","438.55000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"881","U S410","438.90000","438.90000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"882","U S411","438.92500","438.92500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"883","U S412","438.95000","438.95000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"884","U S413","438.97500","438.97500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"885","U S414","439.00000","439.00000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"886","U S415","439.02500","439.02500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"887","U S416","439.05000","439.05000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"888","U S417","439.07500","439.07500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"889","U S418","439.10000","439.10000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"890","U S419","439.12500","439.12500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"891","U S420","439.15000","439.15000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"892","U S421","439.17500","439.17500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"893","U S422","439.20000","439.20000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"894","U S423","439.22500","439.22500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"895","U S424","439.25000","439.25000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"896","U S425","439.27500","439.27500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"897","U S426","439.30000","439.30000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"898","U S427","439.32500","439.32500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"899","U S428","439.35000","439.35000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"900","U S429","439.37500","439.37500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"901","U S430","439.40000","439.40000","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"902","U S431","439.42500","439.42500","A-Analog","High","12.5K","Off","Off","None","Group Call","100","4X4RD","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"

